Word,Character,Location
camouflage,Sigint,Soviet Union
CQC,Big Boss,Groznyj Grad
digestive medicine,Volgin,Tselinoyarsk
active sonar,EVA,Graniny Gorki
antidote,Granin,Bolshaya Past
ballistic shield,Lyndon B. Johnson,Ponizovje
binoculars,Nikita Khrushchev,warehouse
bug juice,Ocelot,research lab
cigar,Para-Medic,Sokrovenno
crocodile cap,Ivan Raidenovitch Raikov,Krasnogorje
fake death pill,Sokolov,Dremuchij
life medicine,The Boss,Dolinovodno
medical kit,The End,Rassvet
mine detector,The Fear,Chyornyj Prud
night vision goggles,The Fury,Chyornaya Peschera
pentazemin,The Pain,Svyatogornyj
ration,The Sorrow,Tikhogornyj
revival pill,Zero,Lazorevo
splint,Wisemen's Committee,Zaozyorje
Calorie Mate,Philosophers,Rokovoj Bereg
instant noodles,Cobra Unit,
nest,Naked Snake,
Operation Snake Eater,ADAM,
OKB-754,Tatyana,
Shagohod,Philosophers' Legacy,
motorcycle,,
HALO jump,,
flamethrower,,
sniper,,
CIA,,
KGB,,
microfilm,,
C3,,
Cold War,,
MiG,,
WiG,,
Patriot,,
Distinguished Service Cross,,
kiss of death,,
Fulton Recovery System,,
defect,,
loyalty,,
Virtuous Mission,,
scene,,
times,,
patriotism,,
jungle,,
naked,,
tiger stripe,,
olive drab,,
leaf,,
tree bark,,
squares,,
black,,
raindrop,,
choco chip,,
splitter,,
snow,,
flamethrower,,
GA-KO,,
water,,
sneaking suit,,
banana,,
tuxedo,,
fruits,,
scientist,,
Survival Viewer,,
prison,,
tree frog,,
scorpion,,
python,,
anaconda,,
bat,,
