Word,Character,Location
SOCOM,Solid Snake,Shadow Moses
FA-MAS,Liquid Snake,Tank Hangar
PSG-1,Revolver Ocelot,Nuclear Warhead Storage Building
Nikita,Otacon,Communication Towers
Stinger,Meryl,Maintenance Facility
grenade,Naomi,snowfield
chaff,Master Miller,Outer Heaven
stun,Campbell,helipad
C4,Mei Ling,armory
claymore,Gray Fox,warehouse
Metal Gear,Nastasha,blast furnace
Hind D,Vulcan Raven,
PAL,Psycho Mantis,
optical disc,Decoy Octopus,
FOXHOUND,Sniper Wolf,
rail gun,Donald Anderson,
elevator,Jim Houseman,
DARPA,Johnny Sasaki,
ArmsTech,Cyborg Ninja,
SDI,Metal Gear REX,
START III,Big Boss,
FOXDIE,DARPA chief,
Les Enfants Terribles,Mr. President,
gene,genome solider,
genetics,Emmerich,
radome,Colonel,
Pentagon,Snake,
snowmobile,,
genome,,
Soliton Radar,,
codec,,
nuclear,,
DNA,,
vaccine,,
nanomachines,,
thermal goggles,,
cardboard box,,
cigarettes,,
VR missions,,
ketchup,,
stealth camouflage,,
bandana,,
wolf,,
HIDEO,,
